5846	3994	2	1569
5846	12023	1	1569
5846	21943	1	1569
5846	3956	1	1569
5846	25529	1	1569
5855	14366	1	17903
5855	5430	1	17903
5855	14120	1	17903
5855	3756	1	17903
5855	12922	1	17903
5855	14366	3	22726
5855	20947	1	22726
5855	23698	1	22726
5855	5430	1	22726
5855	14120	1	22726
5855	5525	1	22726
5855	19499	1	22726
5855	16795	1	22726
5855	3756	1	22726
5855	17903	6	22726
5855	12922	1	22726
5879	4681	1	1159
5879	4682	1	1159
5879	13939	5	1159
5879	14733	3	1159
5879	11187	1	1159
5879	11864	1	1159
5879	9250	1	1159
5879	9251	1	1159
5879	15937	1	1159
5879	17398	1	1159
5879	8156	2	1159
5879	1956	1	1159
5879	12855	1	1159
5879	12856	1	1159
5879	14569	1	1159
5879	9516	1	1159
5879	16642	1	1159
5879	20346	1	1159
5879	22172	1	1159
5879	12161	1	1159
5879	2366	1	1159
5879	24551	1	1159
5879	24827	4	1159
5879	13211	1	1159
5879	12687	1	1159
5879	11198	1	1159
5879	9771	1	1159
5879	6772	2	1159
5879	19425	1	1159
5879	9752	1	1159
5879	25745	2	1159
5879	13308	1	1159
5891	13900	1	9617
5891	18826	1	9617
5891	14550	2	9617
5891	9712	1	9617
5891	7686	1	9617
5891	21805	1	9617
5891	7345	1	9617
5891	1371	1	9617
5891	22701	2	9617
5903	24369	1	24367
5925	4286	1	19107
5925	4717	1	19107
5925	12123	3	19107
5925	12125	1	19107
5925	235	1	19107
5925	25476	2	19107
5925	9134	1	19107
5925	16611	1	19107
5925	16393	9	19107
5925	11222	1	19107
5925	19239	1	19107
5925	7179	1	19107
5925	18814	1	19107
5925	23368	1	19107
5925	13279	1	19107
5925	17207	1	19107
5925	10144	1	19107
5925	12396	3	19107
5925	16197	1	19107
5925	11362	1	19107
5925	6454	2	19107
5925	10112	2	19107
5926	20872	1	10351
5939	19530	2	7078
5953	24047	1	12618
5953	19074	1	12618
5953	14990	1	12618
5953	11155	2	12618
5953	14965	1	12618
5953	14987	3	12618
5953	24047	1	14987
5953	19074	1	14987
5958	4754	1	20792
5958	21801	1	20792
6015	1870	1	4751
6015	10084	1	4751
6015	6432	1	4751
6015	17312	1	4751
6015	1870	1	4751
6015	10084	1	4751
6015	6432	1	4751
6015	17312	1	4751
6015	1870	1	4751
6015	10084	1	4751
6015	6432	1	4751
6015	17312	1	4751
6015	1870	1	4751
6015	10084	1	4751
6015	6432	1	4751
6015	17312	1	4751
6031	3729	2	4895
6031	12255	1	4895
6031	1666	1	4895
6031	17358	1	4895
6031	20818	1	4895
6031	25675	1	4895
6031	12428	1	4895
6031	25679	1	4895
6032	6120	1	9694
6032	5162	1	9694
6032	11120	1	9694
6032	1085	1	9694
6032	315	1	9694
6032	1729	1	9694
6032	9133	1	9694
6032	3191	1	9694
6032	6432	1	9694
6032	24054	1	9694
6032	1637	1	9694
6032	20537	1	9694
6032	6120	1	9694
6032	5162	1	9694
6032	11120	1	9694
6032	1085	1	9694
6032	315	1	9694
6032	1729	1	9694
6032	9133	1	9694
6032	3191	1	9694
6032	6432	1	9694
6032	24054	1	9694
6032	1637	1	9694
6032	20537	1	9694
6046	3924	1	3857
6047	17116	1	22716
6047	17634	1	22716
6047	5072	1	22716
6047	7732	1	22716
